section,capability,metric,value
overall,overall,examples,200
overall,overall,skipped,0
overall,overall,overall_loss,4.2789871383825115
overall,overall,overall_exact_accuracy,0.0
overall,overall,overall_token_accuracy,0.04889958444982767
overall,overall,language_perplexity,42.50997392562349
capability,language,examples,20
capability,language,skipped,0
capability,language,exact_accuracy,0.0
capability,language,token_accuracy,0.16373429521918298
capability,language,cross_entropy,3.7497387290000916
capability,language,perplexity,42.50997392562349
capability,associative_recall,examples,20
capability,associative_recall,skipped,0
capability,associative_recall,exact_accuracy,0.0
capability,associative_recall,token_accuracy,0.0
capability,associative_recall,cross_entropy,4.759897095816476
capability,associative_recall,perplexity,116.73391287291146
capability,fuzzy_recall,examples,20
capability,fuzzy_recall,skipped,0
capability,fuzzy_recall,exact_accuracy,0.0
capability,fuzzy_recall,token_accuracy,0.10902777798473835
capability,fuzzy_recall,cross_entropy,4.008697271347046
capability,fuzzy_recall,perplexity,55.075075929676885
capability,selective_copying,examples,20
capability,selective_copying,skipped,0
capability,selective_copying,exact_accuracy,0.0
capability,selective_copying,token_accuracy,0.2162337712943554
capability,selective_copying,cross_entropy,4.272503601877313
capability,selective_copying,perplexity,71.70092165720723
capability,working_memory,examples,20
capability,working_memory,skipped,0
capability,working_memory,exact_accuracy,0.0
capability,working_memory,token_accuracy,0.0
capability,working_memory,cross_entropy,4.193840873241425
capability,working_memory,perplexity,66.27686374987658
capability,compression,examples,20
capability,compression,skipped,0
capability,compression,exact_accuracy,0.0
capability,compression,token_accuracy,0.0
capability,compression,cross_entropy,4.304716229438782
capability,compression,perplexity,74.04819977196733
capability,arithmetic,examples,20
capability,arithmetic,skipped,0
capability,arithmetic,exact_accuracy,0.0
capability,arithmetic,token_accuracy,0.0
capability,arithmetic,cross_entropy,4.186511278152466
capability,arithmetic,perplexity,65.79285712795733
capability,symbolic,examples,20
capability,symbolic,skipped,0
capability,symbolic,exact_accuracy,0.0
capability,symbolic,token_accuracy,0.0
capability,symbolic,cross_entropy,4.44768795967102
capability,symbolic,perplexity,85.42919973886335
capability,program_execution,examples,20
capability,program_execution,skipped,0
capability,program_execution,exact_accuracy,0.0
capability,program_execution,token_accuracy,0.0
capability,program_execution,cross_entropy,4.291335117816925
capability,program_execution,perplexity,73.06395239352584
capability,stateful_action,examples,20
capability,stateful_action,skipped,0
capability,stateful_action,exact_accuracy,0.0
capability,stateful_action,token_accuracy,0.0
capability,stateful_action,cross_entropy,4.7188920378685
capability,stateful_action,perplexity,112.04404331383343
difficulty-1,language,exact_accuracy,0.0
difficulty-1,language,token_accuracy,0.15695436298847198
difficulty-1,language,cross_entropy,3.7771392822265626
difficulty-1,language,routing_entropy,0.6930693310499192
difficulty-2,language,exact_accuracy,0.0
difficulty-2,language,token_accuracy,0.16629014909267426
difficulty-2,language,cross_entropy,3.731078004837036
difficulty-2,language,routing_entropy,0.6930359642420496
difficulty-3,language,exact_accuracy,0.0
difficulty-3,language,token_accuracy,0.16981578767299652
difficulty-3,language,cross_entropy,3.7506075859069825
difficulty-3,language,routing_entropy,0.6930680478943719
difficulty-4,language,exact_accuracy,0.0
difficulty-4,language,token_accuracy,0.1618768811225891
difficulty-4,language,cross_entropy,3.7401300430297852
difficulty-4,language,routing_entropy,0.6930346532301469
difficulty-1,associative_recall,exact_accuracy,0.0
difficulty-1,associative_recall,token_accuracy,0.0
difficulty-1,associative_recall,cross_entropy,4.893217468261719
difficulty-1,associative_recall,routing_entropy,0.6931038101514181
difficulty-2,associative_recall,exact_accuracy,0.0
difficulty-2,associative_recall,token_accuracy,0.0
difficulty-2,associative_recall,cross_entropy,4.745850276947022
difficulty-2,associative_recall,routing_entropy,0.693048651900338
difficulty-3,associative_recall,exact_accuracy,0.0
difficulty-3,associative_recall,token_accuracy,0.0
difficulty-3,associative_recall,cross_entropy,4.610805153846741
difficulty-3,associative_recall,routing_entropy,0.6929736924718745
difficulty-4,associative_recall,exact_accuracy,0.0
difficulty-4,associative_recall,token_accuracy,0.0
difficulty-4,associative_recall,cross_entropy,
difficulty-4,associative_recall,routing_entropy,0.6929338768536866
difficulty-1,fuzzy_recall,exact_accuracy,0.0
difficulty-1,fuzzy_recall,token_accuracy,0.11944444477558136
difficulty-1,fuzzy_recall,cross_entropy,3.9413008213043215
difficulty-1,fuzzy_recall,routing_entropy,0.6930379327138265
difficulty-2,fuzzy_recall,exact_accuracy,0.0
