section,capability,metric,value
overall,overall,examples,1000
overall,overall,language_perplexity,4.394401857164073
overall,overall,overall_exact_accuracy,0.026
overall,overall,overall_loss,3.0409167016744614
overall,overall,overall_token_accuracy,0.21412968011945485
overall,overall,skipped,0
capability,arithmetic,cross_entropy,3.364178867340088
capability,arithmetic,exact_accuracy,0.01
capability,arithmetic,examples,100
capability,arithmetic,perplexity,28.909748811116355
capability,arithmetic,skipped,0
capability,arithmetic,token_accuracy,0.06283333361148834
capability,associative_recall,cross_entropy,3.4672535634040833
capability,associative_recall,exact_accuracy,0.0
capability,associative_recall,examples,100
capability,associative_recall,perplexity,32.04860201068915
capability,associative_recall,skipped,0
capability,associative_recall,token_accuracy,0.18138922467827798
capability,compression,cross_entropy,2.2943965089321137
capability,compression,exact_accuracy,0.01
capability,compression,examples,100
capability,compression,perplexity,9.918448510681715
capability,compression,skipped,0
capability,compression,token_accuracy,0.1800000050663948
capability,fuzzy_recall,cross_entropy,1.8552903020381928
capability,fuzzy_recall,exact_accuracy,0.0
capability,fuzzy_recall,examples,100
capability,fuzzy_recall,perplexity,6.393554043007691
capability,fuzzy_recall,skipped,0
capability,fuzzy_recall,token_accuracy,0.48291666999459265
capability,language,cross_entropy,1.480331425666809
capability,language,exact_accuracy,0.0
capability,language,examples,100
capability,language,perplexity,4.394401857164073
capability,language,skipped,0
capability,language,token_accuracy,0.5706683877110481
capability,program_execution,cross_entropy,2.794044361114502
capability,program_execution,exact_accuracy,0.03
capability,program_execution,examples,100
capability,program_execution,perplexity,16.346999458022268
capability,program_execution,skipped,0
capability,program_execution,token_accuracy,0.16
capability,selective_copying,cross_entropy,3.831695816516876
capability,selective_copying,exact_accuracy,0.0
capability,selective_copying,examples,100
capability,selective_copying,perplexity,46.14071811799463
capability,selective_copying,skipped,0
capability,selective_copying,token_accuracy,0.1301558467000723
capability,stateful_action,cross_entropy,4.07742550611496
capability,stateful_action,exact_accuracy,0.02
capability,stateful_action,examples,100
capability,stateful_action,perplexity,58.99339603996841
capability,stateful_action,skipped,0
capability,stateful_action,token_accuracy,0.0833333334326744
capability,symbolic,cross_entropy,3.4234071612358092
capability,symbolic,exact_accuracy,0.11
capability,symbolic,examples,100
capability,symbolic,perplexity,30.673747584914064
capability,symbolic,skipped,0
capability,symbolic,token_accuracy,0.18
capability,working_memory,cross_entropy,3.8211435043811797
capability,working_memory,exact_accuracy,0.08
capability,working_memory,examples,100
capability,working_memory,perplexity,45.6563867603152
capability,working_memory,skipped,0
capability,working_memory,token_accuracy,0.11
difficulty-1,arithmetic,exact_accuracy,0.0
difficulty-1,arithmetic,token_accuracy,0.02800000011920929
difficulty-1,arithmetic,cross_entropy,3.4781163120269776
difficulty-1,arithmetic,routing_entropy,0.6528067286809285
difficulty-2,arithmetic,exact_accuracy,0.04
difficulty-2,arithmetic,token_accuracy,0.12400000035762787
difficulty-2,arithmetic,cross_entropy,3.146733283996582
difficulty-2,arithmetic,routing_entropy,0.6520867590109508
difficulty-3,arithmetic,exact_accuracy,0.0
difficulty-3,arithmetic,token_accuracy,0.03800000011920929
difficulty-3,arithmetic,cross_entropy,3.467330665588379
difficulty-3,arithmetic,routing_entropy,0.6536134699980418
difficulty-4,arithmetic,exact_accuracy,0.0
difficulty-4,arithmetic,token_accuracy,0.06133333384990692
difficulty-4,arithmetic,cross_entropy,3.364535207748413
difficulty-4,arithmetic,routing_entropy,0.6525530248880387
difficulty-1,associative_recall,exact_accuracy,0.0
difficulty-1,associative_recall,token_accuracy,0.24666666865348816
difficulty-1,associative_recall,cross_entropy,3.2501800441741944
difficulty-1,associative_recall,routing_entropy,0.6580506587823232
difficulty-2,associative_recall,exact_accuracy,0.0
difficulty-2,associative_recall,token_accuracy,0.18990476489067076
difficulty-2,associative_recall,cross_entropy,3.3705738162994385
difficulty-2,associative_recall,routing_entropy,0.6581489532982182
difficulty-3,associative_recall,exact_accuracy,0.0
difficulty-3,associative_recall,token_accuracy,0.1683982715010643
difficulty-3,associative_recall,cross_entropy,3.531225423812866
difficulty-3,associative_recall,routing_entropy,0.6558411296912793
difficulty-4,associative_recall,exact_accuracy,0.0
difficulty-4,associative_recall,token_accuracy,0.12058719366788864
difficulty-4,associative_recall,cross_entropy,3.717034969329834
difficulty-4,associative_recall,routing_entropy,0.6527835151274007
difficulty-1,compression,exact_accuracy,0.0
difficulty-1,compression,token_accuracy,0.06666666865348816
difficulty-1,compression,cross_entropy,2.339655179977417
difficulty-1,compression,routing_entropy,0.66316905869378
difficulty-2,compression,exact_accuracy,0.04
difficulty-2,compression,token_accuracy,0.293333340883255
difficulty-2,compression,cross_entropy,2.205191869735718
difficulty-2,compression,routing_entropy,0.6633180571595828
difficulty-3,compression,exact_accuracy,0.0
difficulty-3,compression,token_accuracy,0.18666667222976685
difficulty-3,compression,cross_entropy,2.309130964279175
difficulty-3,compression,routing_entropy,0.6627811156681606
difficulty-4,compression,exact_accuracy,0.0
difficulty-4,compression,token_accuracy,0.1733333384990692
difficulty-4,compression,cross_entropy,2.323608021736145
difficulty-4,compression,routing_entropy,0.6627784655601174
difficulty-1,fuzzy_recall,exact_accuracy,0.0
difficulty-1,fuzzy_recall,token_accuracy,0.48833333849906924
difficulty-1,fuzzy_recall,cross_entropy,1.8144616556167603
difficulty-1,fuzzy_recall,routing_entropy,0.6621360632777215
difficulty-2,fuzzy_recall,exact_accuracy,0.0
difficulty-2,fuzzy_recall,token_accuracy,0.5272222256660462
difficulty-2,fuzzy_recall,cross_entropy,1.8197859668731688
difficulty-2,fuzzy_recall,routing_entropy,0.66159614410748
difficulty-3,fuzzy_recall,exact_accuracy,0.0
difficulty-3,fuzzy_recall,token_accuracy,0.4855555558204651
difficulty-3,fuzzy_recall,cross_entropy,1.8323893070220947
difficulty-3,fuzzy_recall,routing_entropy,0.6604253153285966
difficulty-4,fuzzy_recall,exact_accuracy,0.0
difficulty-4,fuzzy_recall,token_accuracy,0.4305555599927902
difficulty-4,fuzzy_recall,cross_entropy,1.954524278640747
difficulty-4,fuzzy_recall,routing_entropy,0.6589375006561374
difficulty-1,language,exact_accuracy,0.0
difficulty-1,language,token_accuracy,0.5574714517593384
difficulty-1,language,cross_entropy,1.505024971961975
difficulty-1,language,routing_entropy,0.6478191924095154
difficulty-2,language,exact_accuracy,0.0
difficulty-2,language,token_accuracy,0.5662894403934479
difficulty-2,language,cross_entropy,1.5039740514755249
difficulty-2,language,routing_entropy,0.6466783829246249
difficulty-3,language,exact_accuracy,0.0
difficulty-3,language,token_accuracy,0.5872359371185303
difficulty-3,language,cross_entropy,1.4483811569213867
difficulty-3,language,routing_entropy,0.6482417753934859
